wav_file_path,model_no,image_file_path,label,score,start_time_sec,end_time_sec,start_time,end_time,min_frequency,max_frequency,box_x1,box_x2,box_y1,box_y2,sonobuoy_id,category,dB_SPL_calibrated,SPL_calibrated_dB
J:\2018-06\Recordings\Sonobuoys\Difar\SB01\CC1806SR_DF_SB01_180609-190000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-190000_second_2520_to_2580.png,D,0.15,2570.19794006348,2573.45493774414,2018-06-09 19:42:50,2018-06-09 19:42:53,28,70,501.979400634766,534.549377441406,80.2603378295898,121.644470214844,SB01,D,NaN,89.3160766027307
J:\2018-06\Recordings\Sonobuoys\Difar\SB01\CC1806SR_DF_SB01_180609-190000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-190000_second_3420_to_3480.png,D,0.61,3464.44834899902,3467.30737304688,2018-06-09 19:57:44,2018-06-09 19:57:47,30,75,444.483489990234,473.07373046875,74.8454818725586,119.911956787109,SB01,D,NaN,93.9055384600016
J:\2018-06\Recordings\Sonobuoys\Difar\SB01\CC1806SR_DF_SB01_180609-190000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-190000_second_120_to_180.png,20Hz,0.2,131.441093444824,133.646012878418,2018-06-09 19:02:11,2018-06-09 19:02:13,12,27,114.410934448242,136.46012878418,123.253219604492,137.585891723633,SB01,20-40Hz,NaN,95.141964118124
J:\2018-06\Recordings\Sonobuoys\Difar\SB01\CC1806SR_DF_SB01_180609-190000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-190000_second_120_to_180.png,20Hz,0.48,159.546102905273,161.646731567383,2018-06-09 19:02:39,2018-06-09 19:02:41,12,27,395.461029052734,416.467315673828,123.289421081543,137.913482666016,SB01,20-40Hz,NaN,94.4453854411573
J:\2018-06\Recordings\Sonobuoys\Difar\SB01\CC1806SR_DF_SB01_180609-190000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-190000_second_3240_to_3300.png,20Hz,0.11,3295.86104125976,3297.57552490234,2018-06-09 19:54:55,2018-06-09 19:54:57,12,21,558.610412597656,575.755249023438,128.712249755859,138.231491088867,SB01,20-40Hz,NaN,87.1911954311686
J:\2018-06\Recordings\Sonobuoys\Difar\SB03\CC1806SR_DF_SB01_180609-231938.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-231938_second_300_to_360.png,D,0.53,307.167687225342,310.353131103516,2018-06-09 23:24:45,2018-06-09 23:24:48,28,68,71.676872253418,103.531311035156,82.1937866210938,121.942588806152,SB03,D,NaN,96.0022909554414
J:\2018-06\Recordings\Sonobuoys\Difar\SB03\CC1806SR_DF_SB01_180609-231938.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-231938_second_900_to_960.png,D,0.28,914.363302612305,917.142565917969,2018-06-09 23:34:52,2018-06-09 23:34:55,48,69,143.633026123047,171.425659179688,81.1600799560547,101.930053710938,SB03,D,NaN,93.9994915758834
J:\2018-06\Recordings\Sonobuoys\Difar\SB03\CC1806SR_DF_SB01_180609-231938.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180609-231938_second_900_to_960.png,D,0.98,928.518225097656,932.942724609375,2018-06-09 23:35:06,2018-06-09 23:35:10,25,67,285.182250976563,329.42724609375,83.0611953735352,124.501182556152,SB03,D,NaN,94.3126913114742
J:\2018-06\Recordings\Sonobuoys\Difar\SB03\CC1806SR_DF_SB01_180610-000000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180610-000000_second_420_to_480.png,D,0.82,456.171188354492,459.182791137695,2018-06-10 00:07:36,2018-06-10 00:07:39,30,69,361.711883544922,391.827911376953,81.4823608398438,119.921585083008,SB03,D,NaN,93.7898108362802
J:\2018-06\Recordings\Sonobuoys\Difar\SB03\CC1806SR_DF_SB01_180610-000000.wav,WhaleMoanDetector_12_11_24_12.pth,L:/WhaleMoanDetector_predictions/CalCOFI_2018/CalCOFI_2018_06\CC1806SR_DF_SB01_180610-000000_second_1140_to_1200.png,D,0.6,1175.43611450195,1178.4507019043,2018-06-10 00:19:35,2018-06-10 00:19:38,30,82,354.361145019531,384.507019042969,68.2591094970703,119.587547302246,SB03,D,NaN,95.6667765011992
