wav_file_path	model_no	image_file_path	label	score	start_time_sec	end_time_sec	start_time	end_time	min_frequency	max_frequency	box_x1	box_x2	box_y1	box_y2	sonobuoy_id	category
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB01\CC1904RL_DF_SB01_190403-020000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB01_190403-020000_second_3180_to_3240.png	40Hz	0.16	3191.0953163146974	3192.9915618896484	2019-04-03 02:53:11	2019-04-03 02:53:12	51	66	110.95316314697266	129.91561889648438	84.03038024902344	99.43839263916016	SB01	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB01\CC1904RL_DF_SB01_190403-030000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB01_190403-030000_second_2400_to_2460.png	40Hz	0.19	2439.456707763672	2441.351126098633	2019-04-03 03:40:39	2019-04-03 03:40:41	50	80	394.5670776367188	413.5112609863281	70.2468032836914	100.079345703125	SB01	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB03\CC1904RL_DF_SB03_190403-160000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB03_190403-160000_second_1200_to_1260.png	B	0.14	1244.466732788086	1260.1	2019-04-03 16:20:44	2019-04-03 16:21:00	17	50	444.6673278808594	601.0	100.41845703125	133.23641967773438	SB03	AB
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB03\CC1904RL_DF_SB03_190403-160000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB03_190403-160000_second_1440_to_1500.png	B	0.7	1489.237307739258	1500.07451171875	2019-04-03 16:24:49	2019-04-03 16:25:00	22	56	492.3730773925781	600.7451171875	94.17776489257812	128.05030822753906	SB03	AB
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB03\CC1904RL_DF_SB03_190403-160000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB03_190403-160000_second_1500_to_1560.png	B	0.13	1501.5279972076416	1520.349787902832	2019-04-03 16:25:01	2019-04-03 16:25:20	15	56	15.279972076416016	203.4978790283203	93.86685180664062	134.6547088623047	SB03	AB
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB03\CC1904RL_DF_SB03_190403-160000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB03_190403-160000_second_1500_to_1560.png	B	0.11	1538.357940673828	1552.3207092285156	2019-04-03 16:25:38	2019-04-03 16:25:52	18	50	383.5794067382813	523.2070922851562	99.56561279296876	131.9829559326172	SB03	AB
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-210000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-210000_second_240_to_300.png	D	0.32	288.47206726074216	291.56025390625	2019-04-03 21:04:48	2019-04-03 21:04:51	22	73	484.7206726074219	515.6025390625	77.48393249511719	127.68790435791016	SB05	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-210000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-210000_second_2040_to_2100.png	D	0.26	2047.88392868042	2050.2589012145995	2019-04-03 21:34:07	2019-04-03 21:34:10	30	66	78.83928680419922	102.5890121459961	84.18888092041016	120.1394500732422	SB05	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-210000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-210000_second_3360_to_3420.png	D	0.14	3418.4557189941406	3420.055535888672	2019-04-03 21:56:58	2019-04-03 21:57:00	29	87	584.5571899414062	600.5553588867188	62.73952865600586	120.50122833251952	SB05	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-220000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-220000_second_300_to_360.png	D	0.47	342.33740234375	345.0348602294922	2019-04-03 22:05:42	2019-04-03 22:05:45	31	67	423.3740234375	450.3486022949219	83.1097183227539	119.47189331054688	SB05	D
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-200000_second_1200_to_1260.png	20Hz	0.21	1237.8201904296875	1240.0439544677731	2019-04-03 20:20:37	2019-04-03 20:20:40	10	25	378.201904296875	400.4395446777344	125.40830993652344	139.96897888183594	SB05	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-200000_second_1380_to_1440.png	20Hz	0.29	1393.8735595703124	1396.4930130004882	2019-04-03 20:23:13	2019-04-03 20:23:16	11	23	138.735595703125	164.9301300048828	127.23849487304688	139.1951446533203	SB05	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-200000_second_1980_to_2040.png	20Hz	0.13	1998.3581558227536	2000.2244598388672	2019-04-03 20:33:18	2019-04-03 20:33:20	10	25	183.58155822753903	202.24459838867188	124.90865325927734	139.7910614013672	SB05	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-200000_second_2340_to_2400.png	20Hz	0.12	2358.86689453125	2361.02001953125	2019-04-03 20:39:18	2019-04-03 20:39:21	10	25	188.6689453125	210.2001953125	125.4108428955078	139.61183166503906	SB05	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB05\CC1904RL_DF_SB05_190403-200000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB05_190403-200000_second_2520_to_2580.png	20Hz	0.2	2522.616728591919	2524.392143630981	2019-04-03 20:42:02	2019-04-03 20:42:04	10	22	26.167285919189453	43.92143630981445	127.5104522705078	139.68280029296875	SB05	20-40Hz
O:\2019\2019-04\Recordings\Sonobuoys\Difar (53G)\SB11\CC1904RL_DF_SB11_190404-220000.wav	WhaleMoanDetector_12_11_24_12.pth	L:/WhaleMoanDetector_predictions/CalCOFI_2019/CalCOFI_2019_04\CC1904RL_DF_SB11_190404-220000_second_780_to_840.png	D	0.65	805.0701889038086	807.5633941650391	2019-04-04 22:13:25	2019-04-04 22:13:27	31	62	250.70188903808597	275.6339416503906	87.93231201171875	119.1304702758789	SB11	D
